date,state,district,daily_enrollments,enrollment_sum,age_0_5_sum,age_5_17_sum,age_18_plus_sum,infant_ratio,youth_ratio,adult_ratio,anomaly_label,anomaly_score
2025-09-19,Meghalaya,East Jaintia Hills,3,0,0,3,7,0.0,0.2727272727272727,0.6363636363636364,-1,-0.026375906507018376
2025-09-19,Meghalaya,East Khasi Hills,24,20,20,43,39,0.1941747572815534,0.4174757281553398,0.3786407766990291,-1,-0.015529825981522416
2025-09-19,Meghalaya,South West Khasi Hills,2,1,1,1,7,0.1,0.1,0.7,-1,-0.029251770073704164
2025-09-20,Delhi,New Delhi,2,0,0,1,2,0.0,0.25,0.5,-1,-0.002650984650825139
2025-09-20,Meghalaya,South West Khasi Hills,1,1,1,0,3,0.2,0.0,0.6,-1,-0.027609989767195753
2025-09-20,Meghalaya,West Khasi Hills,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-09-21,Andhra Pradesh,N. T. R,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-09-21,Andhra Pradesh,Parvathipuram Manyam,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-09-22,Meghalaya,East Khasi Hills,19,10,10,38,40,0.11235955056179775,0.42696629213483145,0.449438202247191,-1,-0.021564299186046854
2025-09-22,Nagaland,Chumukedima,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-09-23,Meghalaya,East Khasi Hills,24,18,18,37,37,0.1935483870967742,0.3978494623655914,0.3978494623655914,-1,-0.019751329865362988
2025-09-24,Meghalaya,East Jaintia Hills,2,1,1,6,16,0.041666666666666664,0.25,0.6666666666666666,-1,-0.02924128674838178
2025-09-24,Meghalaya,Eastern West Khasi Hills,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-09-24,Mizoram,Serchhip,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-09-24,Nagaland,Chumukedima,1,0,0,1,2,0.0,0.25,0.5,-1,-0.004045743520228462
2025-09-24,Nagaland,Shamator,1,0,0,1,3,0.0,0.2,0.6,-1,-0.022652507521314647
2025-09-25,Delhi,South East Delhi,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-09-26,Meghalaya,East Jaintia Hills,2,1,1,4,6,0.08333333333333333,0.3333333333333333,0.5,-1,-0.0017186086690345048
2025-09-26,Nagaland,Tseminyu,1,0,0,0,2,0.0,0.0,0.6666666666666666,-1,-0.04793890482294638
2025-09-27,Meghalaya,East Khasi Hills,6,0,0,6,3,0.0,0.6,0.3,-1,-0.0024779716199836432
2025-09-27,Meghalaya,South West Khasi Hills,2,0,0,1,2,0.0,0.25,0.5,-1,-0.002650984650825139
2025-09-28,Chhattisgarh,Bijapur,1,0,0,0,2,0.0,0.0,0.6666666666666666,-1,-0.04793890482294638
2025-09-28,Maharashtra,Hingoli,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-09-28,Nagaland,Peren,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-09-29,Uttar Pradesh,Budaun,8,1,1,18,2,0.045454545454545456,0.8181818181818182,0.09090909090909091,-1,-0.00034312980838746565
2025-09-29,West Bengal,Darjeeling,4,0,0,4,3,0.0,0.5,0.375,-1,-0.005809711548648955
2025-09-30,Delhi,Central Delhi,2,0,0,1,2,0.0,0.25,0.5,-1,-0.002650984650825139
2025-09-30,Karnataka,Bengaluru,12,0,0,7,6,0.0,0.5,0.42857142857142855,-1,-0.022848401084441194
2025-09-30,Punjab,Amritsar,3,1,1,0,2,0.25,0.0,0.5,-1,-0.016003428176144197
2025-10-13,Assam,Cachar,46,93,93,30,73,0.4720812182741117,0.15228426395939088,0.37055837563451777,-1,-0.0065400695781047125
2025-10-13,Assam,Dhemaji,11,29,29,12,184,0.12831858407079647,0.05309734513274336,0.8141592920353983,-1,-0.05255309634214678
2025-10-13,Assam,Kamrup Metro,35,31,31,28,67,0.2440944881889764,0.2204724409448819,0.5275590551181102,-1,-0.03145072383383396
2025-10-13,Karnataka,Bengaluru,91,277,277,89,72,0.6309794988610479,0.20273348519362186,0.16400911161731208,-1,-0.00240025331966498
2025-10-13,Maharashtra,Chhatrapati Sambhajinagar,14,5,5,9,41,0.08928571428571429,0.16071428571428573,0.7321428571428571,-1,-0.04884408810233898
2025-10-13,Meghalaya,East Garo Hills,5,2,2,5,16,0.08333333333333333,0.20833333333333334,0.6666666666666666,-1,-0.021893560778690757
2025-10-13,Meghalaya,East Jaintia Hills,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-10-13,Meghalaya,Ri Bhoi,6,2,2,5,114,0.01639344262295082,0.040983606557377046,0.9344262295081968,-1,-0.062561698937868
2025-10-13,Meghalaya,West Garo Hills,6,5,5,4,94,0.04807692307692308,0.038461538461538464,0.9038461538461539,-1,-0.060566598062758104
2025-10-13,Meghalaya,West Jaintia Hills,3,1,1,7,52,0.01639344262295082,0.11475409836065574,0.8524590163934426,-1,-0.05764728525823992
2025-10-13,Mizoram,Saiha,2,2,2,0,3,0.3333333333333333,0.0,0.5,-1,-0.0006783778091038473
2025-10-15,Assam,Kokrajhar,14,19,19,3,66,0.21348314606741572,0.033707865168539325,0.7415730337078652,-1,-0.04009790831439286
2025-10-15,Assam,Sibsagar,18,14,14,5,30,0.28,0.1,0.6,-1,-0.019116286130079985
2025-10-15,Assam,West Karbi Anglong,5,0,0,3,10,0.0,0.21428571428571427,0.7142857142857143,-1,-0.03382657829462832
2025-10-15,Ladakh,Leh,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-10-15,Meghalaya,East Garo Hills,6,0,0,11,9,0.0,0.5238095238095238,0.42857142857142855,-1,-0.01566511717282626
2025-10-15,Meghalaya,East Jaintia Hills,4,2,2,6,22,0.06451612903225806,0.1935483870967742,0.7096774193548387,-1,-0.024026907688026733
2025-10-15,Meghalaya,East Khasi Hills,29,14,14,35,79,0.10852713178294573,0.2713178294573643,0.6124031007751938,-1,-0.046624502881972396
2025-10-15,Meghalaya,West Khasi Hills,4,16,16,14,102,0.12030075187969924,0.10526315789473684,0.7669172932330827,-1,-0.040334800606178445
2025-10-16,Bihar,Patna,37,40,40,97,43,0.22099447513812154,0.5359116022099447,0.23756906077348067,-1,-0.002976203079406048
2025-10-16,Karnataka,Dakshina Kannada,44,46,46,7,36,0.5111111111111111,0.07777777777777778,0.4,-1,-0.022976484506998074
2025-10-16,Maharashtra,Chhatrapati Sambhajinagar,10,3,3,9,80,0.03225806451612903,0.0967741935483871,0.8602150537634409,-1,-0.06493174859707795
2025-10-16,Meghalaya,East Jaintia Hills,2,1,1,5,10,0.058823529411764705,0.29411764705882354,0.5882352941176471,-1,-0.014201818756143791
2025-10-16,Meghalaya,East Khasi Hills,20,7,7,24,106,0.050724637681159424,0.17391304347826086,0.7681159420289855,-1,-0.05998628590699484
2025-10-16,Meghalaya,Ri Bhoi,5,1,1,9,23,0.029411764705882353,0.2647058823529412,0.6764705882352942,-1,-0.02846822799209403
2025-10-16,Meghalaya,South West Garo Hills,3,3,3,1,39,0.06818181818181818,0.022727272727272728,0.8863636363636364,-1,-0.06305576638133703
2025-10-16,Tamil Nadu,Ariyalur,16,11,11,5,21,0.2894736842105263,0.13157894736842105,0.5526315789473685,-1,-0.002332514376087391
2025-10-17,Assam,Kamrup Metro,42,46,46,59,37,0.32167832167832167,0.4125874125874126,0.25874125874125875,-1,-0.0005406916123594785
2025-10-18,Assam,West Karbi Anglong,3,0,0,1,5,0.0,0.14285714285714285,0.7142857142857143,-1,-0.03723756133983658
2025-10-18,Sikkim,Namchi,2,0,0,0,2,0.0,0.0,0.6666666666666666,-1,-0.04863532129208814
2025-10-20,Assam,Kamrup Metro,19,5,5,1,77,0.05952380952380952,0.011904761904761904,0.9166666666666666,-1,-0.07854066313311481
2025-10-20,Gujarat,Gandhinagar,4,2,2,0,3,0.3333333333333333,0.0,0.5,-1,-0.004136905287587922
2025-10-21,Andhra Pradesh,Annamayya,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-10-21,Andhra Pradesh,Sri Potti Sriramulu Nellore,11,0,0,1,25,0.0,0.037037037037037035,0.9259259259259259,-1,-0.07021192701464996
2025-10-21,Andhra Pradesh,Sri Sathya Sai,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-10-21,Andhra Pradesh,Tirupati,3,0,0,0,6,0.0,0.0,0.8571428571428571,-1,-0.07184163478525674
2025-10-21,Andhra Pradesh,West Godavari,7,2,2,0,5,0.25,0.0,0.625,-1,-0.022841460349345644
2025-10-21,Assam,Karbi Anglong,9,4,4,3,32,0.1,0.075,0.8,-1,-0.04704890271873008
2025-10-21,Assam,West Karbi Anglong,4,1,1,0,8,0.1,0.0,0.8,-1,-0.0638973711242442
2025-10-21,Madhya Pradesh,Morena,8,5,5,2,17,0.2,0.08,0.68,-1,-0.012792273984633118
2025-10-21,Meghalaya,East Garo Hills,2,0,0,1,17,0.0,0.05263157894736842,0.8947368421052632,-1,-0.05878367107313287
2025-10-21,Meghalaya,East Khasi Hills,8,1,1,2,38,0.023809523809523808,0.047619047619047616,0.9047619047619048,-1,-0.0632023975376762
2025-10-21,Meghalaya,North Garo Hills,2,1,1,0,2,0.25,0.0,0.5,-1,-0.013568767569765994
2025-10-21,Meghalaya,South West Khasi Hills,3,1,1,1,12,0.06666666666666667,0.06666666666666667,0.8,-1,-0.05312739723539639
2025-10-21,Meghalaya,West Garo Hills,5,4,4,3,13,0.19047619047619047,0.14285714285714285,0.6190476190476191,-1,-0.003791819247988104
2025-10-21,Meghalaya,West Jaintia Hills,1,0,0,0,8,0.0,0.0,0.8888888888888888,-1,-0.0690973049329533
2025-10-21,Nagaland,Peren,1,1,1,2,7,0.09090909090909091,0.18181818181818182,0.6363636363636364,-1,-0.0200796610535785
2025-10-21,Punjab,Kapurthala,3,0,0,1,13,0.0,0.06666666666666667,0.8666666666666667,-1,-0.059959912050765674
2025-10-21,Telangana,Peddapalli,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-10-21,Tripura,Unakoti,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-10-21,Uttar Pradesh,Baghpat,8,1,1,4,17,0.043478260869565216,0.17391304347826086,0.7391304347826086,-1,-0.04741328580106696
2025-10-21,Uttarakhand,Uttarkashi,2,0,0,1,2,0.0,0.25,0.5,-1,-0.002650984650825139
2025-10-22,Andhra Pradesh,Tirupati,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-10-22,Assam,Baksa,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-10-22,Assam,Hailakandi,1,0,0,0,2,0.0,0.0,0.6666666666666666,-1,-0.04793890482294638
2025-10-22,Assam,Jorhat,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-10-22,Assam,Kamrup Metro,1,0,0,0,2,0.0,0.0,0.6666666666666666,-1,-0.04793890482294638
2025-10-22,Bihar,Jehanabad,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-10-22,Bihar,Rohtas,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-10-22,Goa,North Goa,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-10-22,Jharkhand,East Singhbhum,2,1,1,0,2,0.25,0.0,0.5,-1,-0.013568767569765994
2025-10-22,Karnataka,Vijayapura,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-10-22,Madhya Pradesh,Shivpuri,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-10-22,Meghalaya,East Jaintia Hills,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-10-22,Meghalaya,East Khasi Hills,5,0,0,0,9,0.0,0.0,0.9,-1,-0.07108941810444724
2025-10-22,Meghalaya,Ri Bhoi,2,0,0,0,3,0.0,0.0,0.75,-1,-0.06468364904043278
2025-10-22,Meghalaya,South West Khasi Hills,3,0,0,0,18,0.0,0.0,0.9473684210526315,-1,-0.0744798095367959
2025-10-22,Meghalaya,West Garo Hills,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-10-22,Meghalaya,West Khasi Hills,1,0,0,0,3,0.0,0.0,0.75,-1,-0.06397180132219027
2025-10-22,Nagaland,Mon,2,0,0,0,2,0.0,0.0,0.6666666666666666,-1,-0.04863532129208814
2025-10-22,Nagaland,Tuensang,2,0,0,0,2,0.0,0.0,0.6666666666666666,-1,-0.04863532129208814
2025-10-23,Andhra Pradesh,Bapatla,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-10-23,Andhra Pradesh,Guntur,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-10-23,Andhra Pradesh,Sri Potti Sriramulu Nellore,3,0,0,0,3,0.0,0.0,0.75,-1,-0.06780673143948746
2025-10-23,Andhra Pradesh,Srikakulam,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-10-23,Andhra Pradesh,Visakhapatnam,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-10-23,Andhra Pradesh,Y. S. R,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-10-23,Assam,Baksa,2,0,0,0,9,0.0,0.0,0.9,-1,-0.07132869439498335
2025-10-23,Assam,Bongaigaon,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-10-23,Assam,Cachar,6,0,0,0,13,0.0,0.0,0.9285714285714286,-1,-0.07108941810444724
2025-10-23,Assam,Darrang,4,0,0,1,3,0.0,0.2,0.6,-1,-0.025078499965790035
2025-10-23,Assam,Dhemaji,3,0,0,0,28,0.0,0.0,0.9655172413793104,-1,-0.0744798095367959
2025-10-23,Assam,Dhubri,2,0,0,0,5,0.0,0.0,0.8333333333333334,-1,-0.06920537730742526
2025-10-23,Assam,Dibrugarh,8,0,0,0,22,0.0,0.0,0.9565217391304348,-1,-0.07310740837841245
2025-10-23,Assam,Goalpara,3,0,0,0,12,0.0,0.0,0.9230769230769231,-1,-0.0744798095367959
2025-10-23,Assam,Golaghat,8,0,0,0,31,0.0,0.0,0.96875,-1,-0.07310740837841245
2025-10-23,Assam,Hailakandi,4,0,0,0,68,0.0,0.0,0.9855072463768116,-1,-0.07397246710390659
2025-10-23,Assam,Jorhat,6,0,0,0,15,0.0,0.0,0.9375,-1,-0.07108941810444724
2025-10-23,Assam,Kamrup,6,1,1,0,30,0.03125,0.0,0.9375,-1,-0.07210054244359243
2025-10-23,Assam,Kamrup Metro,9,0,0,0,20,0.0,0.0,0.9523809523809523,-1,-0.07428717155966336
2025-10-23,Assam,Karbi Anglong,5,0,0,0,21,0.0,0.0,0.9545454545454546,-1,-0.07159480924580375
2025-10-23,Assam,Kokrajhar,4,0,0,0,4,0.0,0.0,0.8,-1,-0.06931726143495698
2025-10-23,Assam,Lakhimpur,3,0,0,0,3,0.0,0.0,0.75,-1,-0.06780673143948746
2025-10-23,Assam,Nagaon,3,0,0,0,24,0.0,0.0,0.96,-1,-0.0744798095367959
2025-10-23,Assam,Nalbari,3,0,0,2,5,0.0,0.25,0.625,-1,-0.024092345325847475
2025-10-23,Assam,Sibsagar,9,1,1,0,26,0.03571428571428571,0.0,0.9285714285714286,-1,-0.07530262594024817
2025-10-23,Assam,Udalguri,4,0,0,1,3,0.0,0.2,0.6,-1,-0.025078499965790035
2025-10-23,Bihar,Arwal,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-10-23,Bihar,Aurangabad,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-10-23,Bihar,Banka,2,0,0,0,2,0.0,0.0,0.6666666666666666,-1,-0.04863532129208814
